,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
112,,"0    657092
1    637692
2    633955
3    632383
4    633009
dtype: float64",random1 200x200 (2112255763).bmp,blur,,,asm1,638826.2,0,,638826.2,108502272.7000122,random1,200,200,2112255763
113,,"0     893047
1     890474
2    1016520
3     893777
4     899165
dtype: float64",fixed 236x236 (982906996).bmp,blur,,,asm1,918596.6,0,,918596.6,3006563645.300049,fixed,236,236,982906996
114,,"0    633983
1    648294
2    632316
3    644477
4    633863
dtype: float64",random2 200x200 (279861221).bmp,blur,,,asm1,638586.6,0,,638586.6,52939095.29998779,random2,200,200,279861221
115,,"0    633592
1    633799
2    615178
3    634822
4    631556
dtype: float64",random2 200x200 (211996288).bmp,blur,,,asm1,629789.4,0,,629789.4,68119401.7999878,random2,200,200,211996288
116,,"0    18175
1    17510
2    16921
3    16991
4    17253
dtype: float64",fixed 32x32 (1649760492).bmp,blur,,,asm1,17370.0,0,,17370.0,256639.0,fixed,32,32,1649760492
117,,"0    639212
1    632255
2    637677
3    636345
4    637744
dtype: float64",random1 200x200 (498777856).bmp,blur,,,asm1,636646.6,0,,636646.6,7056100.299987793,random1,200,200,498777856
118,,"0    13850
1    13236
2    13920
3    13917
4    13492
dtype: float64",fixed 28x28 (719885386).bmp,blur,,,asm1,13683.0,0,,13683.0,93776.0,fixed,28,28,719885386
119,,"0    2203920
1     614922
2     634562
3     634902
4    6373098
dtype: float64",random1 200x200 (760313750).bmp,blur,,,asm1,2092280.8,0,,2092280.8,6192336325323.2,random1,200,200,760313750
120,,"0      634828
1    21611022
2      648458
3      649636
4      639892
dtype: float64",random1 200x200 (184803526).bmp,blur,,,asm1,4836767.2,0,,4836767.2,87929920055253.2,random1,200,200,184803526
121,,"0      634773
1      633733
2    19973205
3      632020
4    11154847
dtype: float64",random2 200x200 (369554448).bmp,blur,,,asm1,6605715.6,0,,6605715.6,76596535045558.8,random2,200,200,369554448
122,,"0    633290
1    636266
2    636147
3    637823
4    633427
dtype: float64",random2 200x200 (204557828).bmp,blur,,,asm1,635390.6,0,,635390.6,3880820.299987793,random2,200,200,204557828
123,,"0    827816
1    640881
2    635253
3    635375
4    633357
dtype: float64",random2 200x200 (468736315).bmp,blur,,,asm1,674536.4,0,,674536.4,7349966368.800049,random2,200,200,468736315
124,,"0     633519
1    2953742
2     637801
3     749305
4     640909
dtype: float64",random1 200x200 (1876855542).bmp,blur,,,asm1,1123055.2,0,,1123055.2,1049671414899.2,random1,200,200,1876855542
125,,"0    22922
1    21460
2    21909
3    21423
4    22010
dtype: float64",fixed 36x36 (596516649).bmp,blur,,,asm1,21944.8,0,,21944.8,366939.7000000477,fixed,36,36,596516649
126,,"0    43177
1    43335
2    42758
3    42853
4    42447
dtype: float64",fixed 52x52 (783368690).bmp,blur,,,asm1,42914.0,0,,42914.0,123139.0,fixed,52,52,783368690
127,,"0     790372
1     636386
2     636644
3    1041799
4     634978
dtype: float64",random2 200x200 (2124251098).bmp,blur,,,asm1,748035.8,0,,748035.8,31436262148.19995,random2,200,200,2124251098
128,,"0     643803
1    4146780
2     633284
3     636819
4     632933
dtype: float64",random2 200x200 (1904101559).bmp,blur,,,asm1,1338723.8,0,,1338723.8,2464137713420.7,random2,200,200,1904101559
129,,"0    635375
1    689498
2    669366
3    637493
4    636217
dtype: float64",random1 200x200 (1784639529).bmp,blur,,,asm1,653589.8,0,,653589.8,607746850.7000122,random1,200,200,1784639529
130,,"0     869145
1     631699
2    5580177
3     658224
4    3023644
dtype: float64",random2 200x200 (1940591161).bmp,blur,,,asm1,2152577.8,0,,2152577.8,4675139489150.7,random2,200,200,1940591161
131,,"0     631269
1     636874
2     633858
3    3911523
4     632847
dtype: float64",random1 200x200 (1411154259).bmp,blur,,,asm1,1289274.2,0,,1289274.2,2148813174352.7,random1,200,200,1411154259
132,,"0    637939
1    635271
2    638431
3    644676
4    631895
dtype: float64",random2 200x200 (1054231799).bmp,blur,,,asm1,637642.4,0,,637642.4,22209383.799987793,random2,200,200,1054231799
133,,"0    631101
1    633265
2    635415
3    637322
4    666231
dtype: float64",random2 200x200 (696556207).bmp,blur,,,asm1,640666.8,0,,640666.8,209647146.2000122,random2,200,200,696556207
134,,"0     3167761
1     2577471
2     3737874
3    16368705
4     2596443
dtype: float64",fixed 400x400 (1956297539).bmp,blur,,,asm1,5689650.8,0,,5689650.8,35866289262102.2,fixed,400,400,1956297539
135,,"0    637972
1    633788
2    634453
3    652931
4    635243
dtype: float64",random2 200x200 (923192533).bmp,blur,,,asm1,638877.4,0,,638877.4,64252398.29998779,random2,200,200,923192533
136,,"0    2072696
1    2029768
2    2031169
3    2249591
4    2035916
dtype: float64",fixed 356x356 (752392754).bmp,blur,,,asm1,2083828.0,0,,2083828.0,8898076804.5,fixed,356,356,752392754
137,,"0    636397
1    634786
2    632157
3    647173
4    633207
dtype: float64",random1 200x200 (1967681095).bmp,blur,,,asm1,636744.0,0,,636744.0,36567288.0,random1,200,200,1967681095
138,,"0    636285
1    633592
2    632264
3    632243
4    635521
dtype: float64",random1 200x200 (1884167637).bmp,blur,,,asm1,633981.0,0,,633981.0,3450017.5,random1,200,200,1884167637
139,,"0    634270
1    635533
2    637069
3    630515
4    646334
dtype: float64",random1 200x200 (1626276121).bmp,blur,,,asm1,636744.2,0,,636744.2,34615340.70001221,random1,200,200,1626276121
140,,"0    419331
1    420650
2    419554
3    417105
4    414694
dtype: float64",fixed 156x156 (628175011).bmp,blur,,,asm1,418266.8,0,,418266.8,5645931.700012207,fixed,156,156,628175011
141,,"0    636126
1    633827
2    639551
3    878798
4    635909
dtype: float64",random2 200x200 (880121610).bmp,blur,,,asm1,684842.2,0,,684842.2,11760105496.699951,random2,200,200,880121610
