,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
286,,585620,random2 200x200 (1395739259).bmp,blur,,,asm2,3,,random2,200,200
287,,580943,random1 200x200 (555996658).bmp,blur,,,asm2,3,,random1,200,200
288,,569450,random1 200x200 (337739299).bmp,blur,,,asm2,3,,random1,200,200
289,,568962,random1 200x200 (1801979802).bmp,blur,,,asm2,3,,random1,200,200
290,,2386715,random1 200x200 (387346491).bmp,blur,,,asm2,3,,random1,200,200
291,,570055,random1 200x200 (1649760492).bmp,blur,,,asm2,3,,random1,200,200
292,,587632,random2 200x200 (1812101828).bmp,blur,,,asm2,3,,random2,200,200
293,,588001,random2 200x200 (1249410364).bmp,blur,,,asm2,3,,random2,200,200
294,,573724,random2 200x200 (1136367389).bmp,blur,,,asm2,3,,random2,200,200
295,,663355,random2 200x200 (730463925).bmp,blur,,,asm2,3,,random2,200,200
296,,8502,fixed 20x20 (1957747793).bmp,blur,,,asm2,3,,fixed,20,20
297,,13895,fixed 24x24 (424238335).bmp,blur,,,asm2,3,,fixed,24,24
298,,1907342,fixed 308x308 (610515434).bmp,blur,,,asm2,3,,fixed,308,308
299,,581307,random2 200x200 (1560034298).bmp,blur,,,asm2,3,,random2,200,200
300,,632267,random2 200x200 (1309478823).bmp,blur,,,asm1,3,,random2,200,200
301,,644374,random1 200x200 (776532036).bmp,blur,,,asm1,3,,random1,200,200
302,,1622550,fixed 320x320 (760313750).bmp,blur,,,asm1,3,,fixed,320,320
303,,575518,fixed 188x188 (1734575198).bmp,blur,,,asm1,3,,fixed,188,188
304,,635689,random2 200x200 (1076377804).bmp,blur,,,asm1,3,,random2,200,200
305,,633207,random1 200x200 (195740084).bmp,blur,,,asm1,3,,random1,200,200
306,,625103,random2 200x200 (2067038044).bmp,blur,,,asm1,3,,random2,200,200
307,,636117,random1 200x200 (1823089412).bmp,blur,,,asm1,3,,random1,200,200
308,,612950,random1 200x200 (927612902).bmp,blur,,,asm1,3,,random1,200,200
309,,631678,random1 200x200 (168002245).bmp,blur,,,asm1,3,,random1,200,200
310,,638183,random1 200x200 (1125898167).bmp,blur,,,asm1,3,,random1,200,200
311,,120316,fixed 88x88 (521595368).bmp,blur,,,asm1,3,,fixed,88,88
312,,65824,fixed 64x64 (1967513926).bmp,blur,,,asm1,3,,fixed,64,64
313,,632362,random2 200x200 (191536171).bmp,blur,,,asm1,3,,random2,200,200
314,,635860,random2 200x200 (663711792).bmp,blur,,,asm1,3,,random2,200,200
315,,646779,random1 200x200 (711845894).bmp,blur,,,asm1,3,,random1,200,200
316,,632957,random2 200x200 (818034604).bmp,blur,,,asm1,3,,random2,200,200
317,,665404,random1 200x200 (1633108117).bmp,blur,,,asm1,3,,random1,200,200
318,,639618,random2 200x200 (1144991476).bmp,blur,,,asm1,3,,random2,200,200
319,,638483,random1 200x200 (1956297539).bmp,blur,,,asm1,3,,random1,200,200
320,,133452,fixed 92x92 (294702567).bmp,blur,,,asm1,3,,fixed,92,92
321,,100532,fixed 80x80 (1303455736).bmp,blur,,,asm1,3,,fixed,80,80
322,,642930,random1 200x200 (1975960378).bmp,blur,,,asm1,3,,random1,200,200
323,,642017,random2 200x200 (335467078).bmp,blur,,,asm1,3,,random2,200,200
324,,642234,random2 200x200 (813833609).bmp,blur,,,asm1,3,,random2,200,200
